Wavelength (nm),Cu_n,Cu_k,Zn_n,Zn_k,SiO2_n,SiO2_k
465.0,1.2468780487804878,2.456151219512196,0.7127890917156483,4.159822470888322,1.470301899848583,0.0022966694786934892
466.0,1.2473658536585366,2.460346341463415,0.7151490784074527,4.169641701231008,1.47023808847069,0.0022912617348042398
467.0,1.2478536585365854,2.464541463414634,0.717509065099257,4.179460931573694,1.4701743349036402,0.0022858612419700214
468.0,1.248341463414634,2.468736585365854,0.7198690517910615,4.18928016191638,1.4701126646680942,0.002280722055674518
469.0,1.248829268292683,2.4729317073170733,0.7222290384828657,4.1990993922590665,1.4700509944325482,0.0022755828693790153
470.0,1.2493170731707317,2.4771268292682924,0.72458902517467,4.208918622601752,1.4699893241970023,0.002270443683083512
471.0,1.2498048780487805,2.4813219512195124,0.7269490118664744,4.218737852944438,1.469927653961456,0.002265304496788009
472.0,1.249265306122449,2.484983673469388,0.7293089985582787,4.228557083287124,1.4698665769720103,0.0022601832061068705
473.0,1.2480408163265306,2.488289795918368,0.7316689852500832,4.23837631362981,1.469806568490246,0.0022550941475826974
474.0,1.2468163265306125,2.491595918367347,0.7340289719418875,4.248195543972495,1.4697465600084818,0.0022500050890585242
475.0,1.245591836734694,2.4949020408163265,0.7363889586336919,4.258014774315182,1.4696865515267177,0.002244916030534351
476.0,1.2443673469387757,2.498208163265306,0.7387489453254964,4.267834004657868,1.4696265430449533,0.002239826972010178
477.0,1.243142857142857,2.501514285714286,0.7411089320173005,4.277653235000554,1.4695678561830778,0.0022349046819231575
478.0,1.2419183673469387,2.504820408163265,0.7434689187091049,4.287472465343241,1.4695099095108126,0.0022300757925677096
479.0,1.2406938775510206,2.508126530612245,0.7458289054009094,4.297291695685926,1.4694519628385472,0.0022252469032122612
480.0,1.239469387755102,2.5114326530612243,0.7481888920927138,4.307110926028613,1.469394016166282,0.002220418013856813
481.0,1.2382448979591836,2.5147387755102044,0.750548878784518,4.316930156371298,1.4693360694940165,0.002215589124501365
482.0,1.2370204081632654,2.518044897959184,0.7529088654763225,4.326749386713984,1.4692795429224694,0.0022108025358553315
483.0,1.2357959183673468,2.521351020408164,0.7552688521681269,4.33656861705667,1.46922321367699,0.0022060218249844105
484.0,1.2345714285714289,2.5246571428571425,0.7576288388599313,4.346387847399356,1.4691668844315113,0.00220124111411349
485.0,1.23334693877551,2.5279632653061226,0.7599888255517356,4.3562070777420425,1.469110555186032,0.0021964604032425694
486.0,1.232122448979592,2.5312693877551022,0.76234881224354,4.366026308084729,1.4690543597448034,0.0021916828565548465
487.0,1.2308979591836735,2.534575510204082,0.7647087989353443,4.375845538427414,1.4690000275776907,0.002186949372298827
488.0,1.2296734693877551,2.537881632653061,0.7670687856271486,4.3856647687701,1.4689456954105784,0.002182215888042807
489.0,1.2284489795918367,2.5411877551020408,0.7694287723189532,4.395483999112787,1.4688913632434657,0.0021774824037867875
490.0,1.2272244897959184,2.5444938775510204,0.7717887590107574,4.405303229455472,1.4688370310763532,0.0021727489195307675
491.0,1.226,2.5478,0.7741487457025618,4.415122459798158,1.4687830213980029,0.0021680250662319137
492.0,1.2247755102040816,2.55110612244898,0.7765087323943662,4.4249416901408445,1.468730239657632,0.002163337884654575
493.0,1.2235510204081632,2.55441224489796,0.7788687190861705,4.434760920483531,1.468677457917261,0.0021586507030772364
494.0,1.2223265306122448,2.5577183673469386,0.781228705777975,4.444580150826217,1.46862467617689,0.002153963521499898
495.0,1.2211020408163265,2.5610244897959182,0.7835886924697794,4.454399381168902,1.4685718944365194,0.0021492763399225596
496.0,1.21984,2.564176,0.7859673780487805,4.464196112804878,1.4685195734463274,0.002144603107344633
497.0,1.21824,2.565936,0.7886241724738676,4.473658220818814,1.4684683224374495,0.0021399622679580304
498.0,1.21664,2.567696,0.7912809668989547,4.483120328832752,1.4684170714285714,0.0021353214285714283
499.0,1.21504,2.569456,0.7939377613240418,4.492582436846689,1.4683658204196932,0.002130680589184826
500.0,1.21344,2.571216,0.796594555749129,4.5020445448606266,1.468314569410815,0.002126039749798224
501.0,1.21184,2.572976,0.799251350174216,4.511506652874564,1.4682639119233074,0.0021214841222288792
502.0,1.21024,2.574736,0.8019081445993033,4.520968760888501,1.4682143812662272,0.0021170902736169363
503.0,1.20864,2.576496,0.8045649390243903,4.530430868902439,1.4681648506091471,0.0021126964250049924
504.0,1.20704,2.578256,0.8072217334494773,4.539892976916375,1.468115319952067,0.0021083025763930494
